prompt,prompt_len,target
Trump Administration Sues to Try to Delay Publication of Bolton’s Book.,16,1
Fear and Loyalty: How Donald Trump Took Over the Republican Party.,14,1
Administration Protests Limits on Its Power to Fill Vacancies.,13,0
Key Voice Is Silent in Supreme Court Case on Unions.,12,0
"Jamal Khashoggi Inquiry Expands, as U.N. Official Arrives in Turkey.",21,0
Obama Aides Tell Executives to Skip Forum.,10,1
Judge in Maryland Locks Up Youths and Rules Their Lives.,13,1
New Faces and a Contentious Revival.,9,0
Sympathy Is Short-Lived for Irish Minority Group After Deadly Fire .,16,0
In the Halls of Congress.,7,0
A Broken Relationship and Accusations of Emotional Abuse: The Case of Keith Ellison.,18,1
Ukraine Falters in Drive to Curb Unrest in East.,13,1
"Here Comes the Judge, in Cuffs.",10,1
Dressing Artists’ Hub in Something Button-Down.,11,0
Resignations Threaten Italian Coalition.,9,0
"After the Death of Their Daughter, a Verdict Looms.",13,0
"10 Years Into Afghan War, a Thunderous Duel.",13,1
"In Bosnia, a Father’s Grief Swells Into an Antigovernment Movement.",17,0
F.B.I. Agents Get Leeway to Push Privacy Bounds.,16,1
Federal Watchdog Says Coronavirus Whistle-Blower Should Be Reinstated as It Investigates.,20,0
Obama’s Delicate Balance on Issue of Race and Policing.,14,1
A Rush to Expand the Border Wall That Many Fear Is Here to Stay.,16,1
Trump Considering an Executive Order to Allow Citizenship Question on Census.,13,1
Meet the New House Democrats: They May Not Toe the Party Line.,15,1
A Young Manager for Clinton Juggles Data and Old Baggage.,14,1
Indian Who Built Yoga Empire Works on Politics.,10,1
Italy’s Prime Minister Announces Resignation Amid Party Revolt.,13,0
Donald Trump to Foreign Workers for Florida Club: You’re Hired.,16,1
Trump Vows to ‘Destroy’ Law Banning Political Endorsements by Churches.,17,1
"To Make Sense of Lebanon’s Protests, Follow the Garbage.",15,1
An Ethnic War Is Rekindled in Myanmar.,11,1
"Michael Bloomberg Has Used His Fortune to Help Republicans, Too.",13,1
"Before a Departure, a Rare Joint Interview.",10,0
Thais Look to the Supernatural.,8,0
Documentary on Air Pollution Grips China.,9,0
G.O.P. Groups Offering Cover for Lawmakers on Immigration.,16,1
"On Street Tracing Haiti’s Pain, Survival Goes On.",13,1
"China’s Energy Plans Will Worsen Climate Change, Greenpeace Says .",15,0
"For Gadget Geek in the Oval Office, High Tech Has Its Limits.",15,0
China Puts Best Face Forward With News Channel.,10,0
Republicans Balk at More Tariffs as Trump Mulls More Farm Aid.,15,0
How the House Fell: Republican Chaos and Democratic Focus.,12,1
Saudis Moving to Reduce Dependence on Oil Money.,11,0
"In Cuba, Church’s Uneasy Balancing Act.",12,0
Wasting Time Is New Divide in Digital Era.,11,1
Tillerson Leads From State Dept. Shadows as White House Steps In.,15,1
Justices Take Up Race as a Factor in College Entry.,13,1
"Zimbabwe Elects Mnangagwa, the Man Who Ousted Mugabe.",16,0
"Trump’s Fury Erodes His Relationship With Sessions, an Early Ally.",16,1
No Survivors Found After West Virginia Mine Disaster.,10,1
"A Half-Century On, an Unexpected Milestone for L.G.B.T.Q. Rights.",23,1
London Bridge Attack Victims Were Advocates for Prisoner Rehabilitation.,11,0
Trump Pressed Ukraine’s President to Investigate Democrats as ‘a Favor’.,15,1
Anti-Abortion Marchers Draw Inspiration From an Unlikely Source.,15,0
The Lives at the End of the Rockets’ Arc.,12,0
"Cain Accuser Tells of Pattern of Behavior, Lawyer Attests.",14,1
Currency Controls in Cyprus Increase Worry About Euro System.,11,1
Iraq Insurgents Reaping Wealth as They Advance.,12,1
An Afghan Mother’s Heartache: Three Sons Dead in a Day.,16,1
"Donald Keene, Famed Translator of Japanese Literature, Dies at 96.",17,0
"Leading by Example, Some Politicians Urge Residents to Wear Face Masks.",16,0
Navy Leaders Recommend Reinstating Roosevelt Captain Fired Over Virus Warning.,14,0
Coronavirus Outbreak at Virginia Nursing Home Spirals Out of Control as 45 Die.,18,0
"Pyongyang Blusters, and U.S. Worries About Quieter Risks.",18,1
Ugandan Who Spoke Up for Gays Is Beaten to Death.,16,0
"For Bachmann, Gay Rights Stand Reflects Mix of Issues and Faith.",16,1
G.O.P. Rethinking Bid to Overhaul Medicare Rules.,16,1
Japan Said to Have Tentative Deal to Buy 3 Disputed Islands From Private Owners.,19,0
British Citizens Flee Tripoli on Ship as 25 Libyans Are Reportedly Killed in Fighting.,22,0
"Mired in Crises, Haiti Struggles to Focus on Election.",15,0
North Korean Diplomat Blames United States for Tensions but Calls for Peace Talks.,17,0
"Pakistani Party Leader Looks Forward, as Claims of Vote-Rigging Swirl.",18,0
"Years After Abduction by North Korea, a Reunion.",12,0
"For Young Campers, Island Turned Into Fatal Trap.",12,1
"In Okinawa, Talk of Break From Japan Turns Serious.",12,0
"As Ukraine and Russia Battle Over Orthodoxy, Schism Looms.",15,1
Ranchers Alarmed by Killing Near Border.,10,0
Trump Proposal Would Deport More Immigrants Immediately.,10,0
Japanese Politician Reframes Comments on Sex Slavery.,11,0
Israel Roiled After Chomsky Barred From West Bank.,12,0
Trump Lashes Out After Reports of ‘Quiet Resistance’ by Staff.,15,1
A Class Trip Meant Much to Mexico.,10,0
"A Son of the Bayou, Torn Over the Shrimping Life.",14,0
Justice Dept. Shelved Ideas to Improve Gun Background Checks.,13,1
"Branding Trump a Danger, Democrats Cap the Case for His Removal.",14,1
Finland’s Turn to Right Sends Shivers Through Euro Zone.,14,1
Mandela’s Kin Face Gray Area on End of Life.,14,1
Italy Loosens Vaccine Law Just as Children Return to School.,13,0
Deadly Shootout and Arrest in Iraq Set Off Sunni Protests.,14,0
"At India-Bangladesh Border, Living in Both, and Neither.",14,0
A Clash of Philosophies.,7,1
"Top Aide to Kim Jong-un Is Bound for U.S., Trump Says.",18,0
Surprising Guests in a Russian Parade: American Troops.,12,0
Protest Over Chemical Plant Shows Growing Pressure on China From Citizens.,13,0
"Several Warnings, Then a Soldier’s Lonely Death.",12,1
Perks Ease Way in Health Plans for Lawmakers.,12,1
"Pat Hutchins, 75, Dies; Wrote and Illustrated Children’s Books.",18,0
"Once Every 36 Years, Primary Fight for Indiana Senator.",14,1
Harvard Men’s Soccer Team Is Sidelined for Vulgar ‘Scouting Report’.,18,1
Army’s Hand Suspected in Kyrgyzstan.,10,1
"For Swapped Taliban Prisoners From Guantánamo Bay, Few Doors to Exit Qatar.",20,1
"Wilbur Ross, a Billionaire Investor, Is Confirmed as Commerce Secretary.",16,0
"Saudi Oil Attack Photos Implicate Iran, U.S. Says; Trump Hints at Military Action.",21,1
British Forces Rush to Help Afghans Hold Off Taliban in Helmand.,14,0
Report Finds Naval Blockade by Israel Legal but Faults Raid.,14,1
"Patriot Act Idea Rises in France, and Is Ridiculed.",14,1
"In Paris, Cafe Terraces Are an Environmental Battleground.",13,0
Mali Holds Elections After Year of Turmoil.,10,0
Government Shutdown Goes Into Monday as Senate Inches Toward Deal.,12,1
Gatlinburg Residents Return Home to Wildfire Destruction.,12,0
Mueller Zeros In on Story Put Together About Trump Tower Meeting.,15,1
Old Tax Relief Seen as Anchor in Obama Plan.,11,1
Unrest Poses a Risky Choice for Vietnam.,12,0
"Pope Francis, in Kenya, Delivers Message of Humility.",14,0
"In a Surprise, Pakistan Says Fewer Civilians Died by Drones .",15,0
"How the State Dept.’s Dissenters Incited a Revolt, Then a Rallying Cry.",20,1
Divining the Return on a Candidate’s Investment.,12,1
Aid Convoy Is Hit in Syria as Cease-Fire Falters and Bombings Resume.,20,0
"Model, Countess, Author, Spy: Aline Griffith Is Dead.",14,0
Zika Virus May be Linked to Surge in Rare Syndrome in Brazil.,15,1
"When Bail Feels Less Like Freedom, More Like Extortion.",13,1
"In Dallas Area, 4 Attacks Linked by Victims’ Sorority Membership.",16,0
"Trump Bets Business Will Answer Call to Fight Virus, but Strategy Bewilders Firms.",18,0
"Vatican Revises Abuse Process, but Causes Stir.",12,1
"As Moderate Islamists Retreat, Extremists Surge Unchecked.",13,1
Struggle Looms on Controlling Deficit Spending.,10,0
Mattis Accuses Beijing of ‘Intimidation and Coercion’ in South China Sea.,21,0
Brown Asks California to Cheer Rail Project.,10,0
U.S. Actions in Iraq Fueled Rise of a Rebel.,15,1
Impeachment Fight May Help a New NAFTA Deal.,12,0
"In Military Care, a Pattern of Errors but Not Scrutiny.",14,1
"In Japan, Deadly Heat Wave Tests Endurance of Even the Most Stoic.",16,0
Top Murdoch Aide Is Charged in Hacking Case.,10,1
Toronto Mayor Called to Testify in Canada.,10,0
Key Syrian City Takes On the Tone of a Civil War.,13,1
Death of Iran’s Rafsanjani Removes Influential Voice Against Hard-Liners.,19,1
Bombings Strike Police in Pakistan.,8,0
Harassers of Women in Cairo Now Face Wrath of Vigilantes.,15,1
"Russia, Already Reinserting Itself in Middle East, Enters Israeli-Palestinian Fray.",19,0
A New Martin Luther King Jr. Parade Divides a Virginia Town.,15,0
"Impeachment Trial Puts Susan Collins, Stung by Kavanaugh Backlash, Under Scrutiny.",21,1
"As North and South Korea Begin to Talk, Trump Watches From Sidelines.",16,1
"In Peru’s Deserts, Melting Glaciers Are a Godsend (Until They’re Gone).",22,1
P.R.I. Closes In on Narrow Victory in State of Mexico Governor’s Race.,21,0
"Merkel Is Seen Shaking Again, Renewing Health Concerns.",14,0
Some Lawmakers Now Look to Bipartisanship on Health Care.,15,0
U.K. Court Says Mentally Disabled Woman Must Have Abortion.,15,0
Egyptian Photojournalist Is Released After 5 Years in Prison.,13,0
"In Tribute to Son, Khizr Khan Offered Citizenship Lesson at Convention.",16,1
U.S. Expels 2 Venezuela Envoys.,14,0
Trump Steps Into North Korea and Agrees With Kim Jong-un to Resume Talks.,18,1
"A Top Republican Vows a Vote on Health Care, but Uncertainty Reigns.",16,1
‘This Is Appalling’: Evacuated London Residents Try to Cope.,16,0
British Leader Seeks Public Housing Evictions for Rioters and Their Families.,16,0
Trump Asked Sessions to Retain Control of Russia Inquiry After His Recusal.,16,1
"In Visit to Kandahar, Karzai Outlines Anti-Taliban Plan.",17,0
"Upset by Brexit, Some British Jews Look to Germany.",13,1
U.S. Issues New Sanctions as Iran Warns It Will Step Back From Nuclear Deal.,20,1
How the Trump Administration Stepped Up Pursuit of WikiLeaks’s Assange.,17,1
Rights Battles Emerge in Cities Where Homelessness Can Be a Crime.,15,0
Israel to Reopen Contested Holy Site in Jerusalem.,12,1
Thousands of Dead Pigs Found in River Flowing Into Shanghai.,13,0
Ex-Liberian Leader Gets 50 Years for War Crimes.,15,1
"Israel, in Shift, Lets Building Materials Cross Into Gaza.",13,0
"Farm Thieves Target Grapes, and Even Bees.",10,1
Austrians Appear to Reject Changes to Conscript Army.,12,0
Baltimore Enlists National Guard and a Curfew to Fight Riots and Looting.,18,1
"As States Reopen, Governors Balance Existing Risks With New Ones.",14,0
"Man, 20, Is Arrested in the Shooting of 2 Officers in Ferguson.",19,0
"Jeremiah O’Keefe, Ace in His First World War II Battle, Dies at 93.",21,0
"After Arrests, Quandary for Police on Posting Booking Photos.",14,0
"As Victories Pile Up, Gay Rights Advocates Cheer ‘Milestone Year’.",15,0
Obama Backers Tied to Lobbies Raise Millions.,11,1
Drone War Spurs Militants to Deadly Reprisals.,12,1
Balancing Terror and Reality in State of the Union Address.,12,1
Taliban Chief Rebuked by Religious Leaders in Sign of Turmoil.,16,0
Robert G. Edwards Dies at 87; Changed Rules of Conception With First ‘Test Tube Baby’.,22,1
Senators Returning to Square Off Head to Head Over Replacing Scalia .,15,0
"Deadly Earthquake Hits Japan, Adding to Summer of Misery.",13,0
Zimbabwe Stands Still as President Vacations Off the Grid.,12,0
Sri Lanka Arrests Defeated Candidate.,9,0
"Burning King’s Picture Is Free Speech, European Court Warns Spain.",16,0
"As Moscow’s Landfills Near Limits, Recyclers Do Whatever It Takes .",18,0
Afghan President Moves to Reassure Allies After Security Ministers Are Dismissed.,15,0
"E.U. Woos Turkey for Refugee Help, Ignoring Rights Crackdown.",17,1
"Law Lets I.R.S. Seize Accounts on Suspicion, No Crime Required.",20,1
Al Franken Issues Apology After Accusation of Forcible Kissing and Groping.,20,1
"Even as Violent Crime Falls, Killing of Officers Rises.",12,1
Origins of Provocative Video Are Shrouded.,12,1
When Joe Biden Voted to Let States Overturn Roe v. Wade.,16,1
"For Spy Agencies, Briefing Trump Is a Test of Holding His Attention.",15,1
"In New Health Care Era, Blessings and Hurdles.",12,1
Ukraine Blames I.M.F. for Halt to Agreements With Europe.,17,0
"Jerusalem Embassy Is a Victory for Trump, and a Complication for Middle East Peace.",18,0
Poland’s Supreme Court in Disarray After Judges Defy Purge.,15,0
"Brent Taylor, Utah Mayor Killed in Afghanistan, Was on 4th Deployment.",17,1
Taliban Arrest May Be Crucial for Pakistanis.,11,1
Supreme Court Upholds Affirmative Action Program at University of Texas.,14,1
Optimism Is Fresh Arrival in California Cul-de-Sac.,14,1
"Knife Attacker Wanted to Rid Japan of the Disabled, Authorities Say.",15,0
"Upset by Brexit, Some British Jews Look to Germany.",13,1
Shabab Militants Learning to Kill on a Shoestring.,13,1
G.O.P. Senator Courts Blacks in Mississippi Primary Race.,15,1
Republicans Seek Democratic Seats on McCain Turf.,9,1
Behind Legislative Collapse: An Angry Vow Fizzles for Lack of a Viable Plan.,19,1
"Senate Passes Revised NAFTA, Sending Pact to Trump’s Desk.",14,0
"Mexican Opium Prices Plummet, Driving Poppy Farmers to Migrate.",13,0
"Charles Peterson, Veteran Minor Leaguer and M.L.B. Scout, Dies at 46.",23,0
"Days After Cyclone Idai, Rescuers Battle to Save Victims.",15,1
Brazilian President Rejects Criticism Over World Cup.,10,0
Poland’s State Media Is Government’s Biggest Booster Before Election.,15,0
Anxiety Up as Tokyo Issues Warning on Its Tap Water.,12,1
Romney Fights for First-Place Showing in Iowa Caucuses.,14,1
"Hardy Fox, of the Avant-Garde Band the Residents (Maybe), Dies at 73.",22,0
"Same Anger, Different Ideologies: Radical Muslim and Neo-Nazi.",15,0
Pakistan’s Spy Agency Is Tied to Attack on U.S. Embassy.,17,1
A Look at the Presidential Candidates in Iran.,10,0
Hezbollah Says Israeli Helicopter Strike Killed Five Fighters in Syria .,14,0
"A Heat Wave Bakes Europe, Where Air-Conditioning Is Scarce.",17,1
"As U.S. Nears a Pullout Deal, Afghan Army Is on the Defensive.",20,0
"Turmoil at the National Security Council, From the Top Down.",14,1
Trump Targets Michigan in His Ploy to Subvert the Election.,14,1
Firebrand Hindu Cleric Ascends India’s Political Ladder.,14,1
"Man, 20, Is Arrested in the Shooting of 2 Officers in Ferguson.",19,0
Rio Slum Is ‘Pacified’ in Advance of Games.,14,0
G.O.P. Senators Suggest Changes for Health Care Bill Offered by House.,18,1
"Under Russia, Life in Crimea Grows Chaotic.",11,1
Flint’s Children Suffer in Class After Years of Drinking the Lead-Poisoned Water.,19,1
The Disinformation Is Coming From Inside the White House.,12,1
Dire Warnings Along East Coast as Snow Piles Up.,11,1
"Overseas, Romney Will Try to Hone Foreign Policy.",11,0
German Far Right and Counterprotesters Clash in Chemnitz.,13,0
Meal Plan Costs Tick Upward as Students Pay for More Than Food.,15,1
Israel Backs Limited Strike Against Syria.,9,1
Myanmar’s Highest Court Upholds Conviction of Reuters Journalists.,15,0
Census Data Presents Rise in Multiracial Population of Youths.,13,0
Chile Recalls Coup With Flurry of Events and New Openness.,15,0
"Eager to Adopt, Evangelicals Find Perils Abroad.",14,1
Man Believed to Have Killed Park Ranger Is Found Dead.,13,0
"Hawaii Tourists Revel in Sun, Surf and Semiautomatics.",14,0
Behind Trump’s Termination of Iran Deal Is a Risky Bet.,15,1
"Polixeni Papapetrou, Photographer With an Eerie Eye, Dies at 57.",21,0
Radical Cleric Demands Ouster of Yemen Leader.,11,1
"With Tim Kaine and Mike Pence, Faith Is Back in the Mix.",16,1
"Trump, in Poland, Asks if West Has the ‘Will to Survive’.",17,1
Taliban Attack Kills at Least 20 Afghan Police Officers.,14,0
"Despite Doubt, Karzai Brother Retains Power.",11,1
North Korea Declares 1953 War Truce Nullified.,16,0
"‘Antifa’ Grows as Left-Wing Faction Set to, Literally, Fight the Far Right.",21,1
"Prince Philip, 97, Won’t Face Charges Over Car Crash, Prosecutors Say.",21,0
Bitter Tenor of Senate Reflects a Nation at Odds With Itself.,14,1
"Congolese Politician, Jean-Pierre Bemba, Sentenced to 18 Years for War Crimes.",23,0
Trump Administration Plans to Sell More Than $2 Billion of Arms to Taiwan.,16,0
Deadly Attack by Taliban in Kabul Sought to Kill Head of Blackwater.,16,0
Chinese Attitudes on Generosity Are Tested.,9,0
German Outpost Born of Racism in 1887 Blends Into Paraguay.,18,0
Senate Votes to Require Women to Register for the Draft.,12,0
When Gangs Killed Gay Men for Sport: Australia Reviews 88 Deaths.,17,0
Russian Governor Signs Up Cossacks to Police Migrants.,12,0
Revised North American Trade Pact Passes House.,9,0
Brazil Election: Jair Bolsonaro Heads to Runoff After Missing Outright Win.,15,1
The Vatican: Australian Saint Approved.,8,0
Florida Legislators Fail to Agree on Congressional Districts.,11,0
"Trump Kicks Off ‘Thank You’ Tour, Reveling in Crowd and Campaign Themes.",18,1
Elton Simpson Eluded U.S. Inquiry Before Texas Shootout.,15,1
"If Not David to the U.S. Goliath, Cuba Asks What Its Role Is Now.",21,1
Inquiry Faults Army Leadership in Anthrax Shipment.,11,0
Syrian Rebels Say They Seized Helicopter Base in the North.,14,0
"Oil Backed Up, Iranians Put It on Idled Ships.",15,1
Hillary Clinton and Donald Trump Press Pointed Attacks in Debate.,13,1
Why Trump Has No Power to Delay the 2020 Election.,16,0
"One Ohio Town’s Immigration Clash, Down in the Actual Muck.",15,1
Quixotic ’80 Campaign Gave Birth to Kochs’ Powerful Network.,17,1
More Ships and Planes Join Search for Jetliner.,11,0
"As Government Reopens, the New Congress Tries to Begin Again.",14,1
Father and Son Split on Tactics in Murdoch Family Drama.,12,1
"On Tricky Terrain of Class, Contrasting Paths.",12,1
China Sends a Real Estate Mogul to Prison .,11,0
Efforts to Mark Turf When Snowstorms Hit Endure Despite Critics.,15,0
Steep Slide in Currency Threatens Iran’s Economy.,13,0
Why White Supremacists Are Chugging Milk (and Why Geneticists Are Alarmed).,20,1
Key Parts of Patriot Act Expire Temporarily as Senate Moves Toward Limits on Spying.,19,1
Hurricane Michael Leaves Trail of Destruction as It Slams Florida’s Panhandle.,17,1
"Honey, the Baby Is Coming; Quick, Call the Photographer.",14,1
France Puts More Troops on Streets After a String of Attacks .,13,0
Conventions Draw Crowds but Sway Few Voters.,11,0
White House and Egypt Discuss Plan for Mubarak’s Exit.,13,1
Californians Fight Over Whether Coast Should Be Rugged or Refined.,14,0
All-but-Forgotten Prisoner in Jordan Is at Center of Swap Demand by ISIS.,18,1
"In Rural Nepal, Menstruation Taboo Claims Another Victim.",14,0
Hard-Line Republican Caucus Backs Revised Bill to Repeal Obamacare.,15,1
"Kim Jong-il, North Korean Dictator, Dies.",13,1
Myanmar Is Reported to Sentence 2 to Death.,11,0
"Olson and Boies, Legal Duo, Seek Role in 2 Cases on Gay Marriage.",20,0
Murder Arrests in Mexico Met With Skepticism.,12,0
Netanyahu Dressed Down After Appeal to Iranians.,11,0
Poland: Priest’s Abuse Trial Opens.,10,0
Italy Finds a Heroic Foil for Its Scorned Captain.,12,0
She Broke Japan’s Silence on Rape.,10,1
"In Zimbabwe, a First Lady Exerts Her Power.",12,1
Leader of Vote Count in Kenya Faces U.S. With Tough Choices.,16,1
"‘We Sleep Afraid, We Wake Up Afraid’: A Child’s Life in Yemen.",19,0
"Trump Denies Quid Pro Quo for Ukraine, but Envoys Had Their Doubts.",19,1
California’s Far North Deplores ‘Tyranny’ of the Urban Majority.,17,0
Why Referendums Aren’t as Democratic as They Seem.,14,1
Kremlin Warns of Cyberwar After Report of U.S. Hacking Into Russian Power Grid.,21,0
NATO Airstrike Is Said to Kill Afghan Civilians.,14,0
"Muslim Detention Camps Are Like ‘Boarding Schools,’ Chinese Official Says.",14,0
"Unrest Spreads, Some Violently, in Middle East.",14,1
"Shivering, Hungry and Tearful in Rebel-Held Eastern Ukraine.",15,1
"Decades Later, Sickness Among Airmen After a Hydrogen Bomb Accident.",15,1
Police Program Aims to Pinpoint Those Most Likely to Commit Crimes.,14,1
"Changing Subject Amid a Pandemic, Trump Turns to an Old Ploy: Blame Obama.",18,1
"Battered by Storms, West Virginia Struggles to Recover.",13,0
Israeli Court Invalidates a Military Exemption.,9,0
"Gun Debate Reignites in Colorado, 2½ Years After Aurora Theater Shooting.",17,0
"Russia, Crippled by Drought, Bans Grain Exports.",12,1
War Hero’s Family Suing in Its Decades-Long Fight to Identify Remains.,19,0
Taliban Attack at Bacha Khan University in Pakistan Renews Fears.,15,1
Xenophobic Chill Descends on Moscow.,9,0
"Seized by Rebels, Town Is Crushed by Syrian Forces.",14,1
"Two Classes, Divided by ‘I Do’.",10,1
Desperate G.O.P. Appeals to Ryan on Speaker’s Job.,17,1
Defendant Is Released on $1 Million Bond in Trayvon Martin Shooting.,15,0
"Scientist Behind Dolly the Sheep, a Key to Parkinson’s Research, Has the Disease Himself.",20,0
"Rusty Staub, Durable Batter Who Won Pennant With Mets, Dies at 73.",19,0
Brexit Plans Raise Fears of Food Shortages and Jammed Ports.,14,0
Malaysia Closes Investigation Into Prime Minister Najib Razak’s Funds.,14,0
Turkish Government to Return Seized Property to Religious Minorities.,13,0
U.N. Investigators Press North Koreans to Allow a Visit.,14,0
Picture Books No Longer a Staple for Children.,10,1
Biracial Beauty Queen Challenges Japan’s Self-Image.,14,0
Nigerian Group Escalates Violence With Church Attacks.,10,1
Indiana Races to Fight H.I.V. Surge Tied to Drug Abuse.,17,1
Trump Calls Fauci ‘a Disaster’ and Shrugs Off Virus as Infections Soar.,18,1
Boris Johnson Sends Letter to E.U. Asking for Brexit Delay.,15,1
How the Paris Attackers Honed Their Assault Through Trial and Error.,15,1
Reliably Red Ohio County Finds Both Trump and Clinton Hard to Stomach.,16,1
House Votes to Restrain Trump’s Iran War Powers.,13,1
Islamists’ Growing Sway Raises Questions for Libya.,11,1
"Even as Governments Act, Time Runs Short for Euro.",12,1
A Political Quake in Turkey as Erdogan’s Party Loses in His Home Base of Support.,20,1
"For Vulnerable Older Adults, a Harrowing Sense of Being Trapped.",15,0
Austrian Leader Calls for Snap Election After Far-Right Vice Chancellor Resigns.,17,1
"Beyond the Sandbags and Steel, 12 Lanes to Another Afghanistan.",16,0
"As Lebanon Reels, Long-Awaited Hariri Assassination Verdicts Loom.",17,1
Supreme Court Rejects Challenge on ‘One Person One Vote’.,13,1
"Senators, Furious Over Khashoggi Killing, Spurn President on War in Yemen.",19,1
"Trump Speaks With Nigeria’s President, Who Hasn’t Been Seen in Weeks.",19,0
U.S. Islamic Web Site Is Taken Down.,12,0
"Lockdown Delays Cost at Least 36,000 Lives, Data Show.",19,1
France’s World Cup Win Is a ‘National Relief’ After Attacks and Racial Tension.,19,0
Elders Offer Help at Japan’s Crippled Reactor.,13,0
A Liberal Town Built Around Confederate Generals Rethinks Its Identity.,14,1
"McConnell Blocks Vote on $2,000 Checks Despite G.O.P. Pressure.",22,1
Why the Seine River Is Bursting Its Banks in Paris.,13,0
Kim Jong-un Takes Train for Vietnam Meeting With Trump.,13,0
Israeli Official Points to ‘Incitement’ by Palestinians.,12,0
"After Years in Solitary, an Austere Life as Uruguay’s President.",17,1
"Howard Halpern, Therapist and Self-Help Author, Dies at 82.",18,0
Obama Seeks to Win Back Wall St. Cash.,12,1
Afghan Plan on Transfer of Security Gets Support.,10,0
Borrowed Time on Disappearing Land.,9,1
3 in Europe Now Oppose Hezbollah.,9,0
Dartmouth College Professors Investigated Over Sexual Misconduct Allegations.,14,0
Cost of Stadium Reveals Tensions in South Africa.,11,1
The Country Enters a Memorial Day Weekend to Remember (or Forget).,15,0
"In Xi Jinping’s Tears, a Message for China’s People.",16,0
‘We’re in a Petri Dish’: How a Coronavirus Ravaged a Cruise Ship.,19,1
Crime Wave Engulfs Syria as Its Cities Reel From War.,14,1
"Ted Cruz and Marco Rubio Clash Harshly, Filling Void on G.O.P. Debate Stage.",22,1
Wisconsin Is Frazzled by Surging Virus Cases and Growing Campaign Frenzy.,16,1
Pope Francis Sets Aside Proposal on Married Priests.,10,1
Trump’s Aggressive Advocacy of Malaria Drug for Treating Coronavirus Divides Medical Community.,17,1
"More Deportations Follow Minor Crimes, Records Show.",12,1
Oil Rig’s Owner Had Safety Issue at Three Other Wells.,14,1
Obama Plans Bipartisan Summit on Health Care.,10,1
"For Trump the Dealmaker, Troop Pullouts Without Much in Return.",15,1
Evictions Soar in Hot Market; Renters Suffer.,13,1
France Arrests 12 in Antiterrorism Raids.,13,0
The Promise and Unfulfilled Potential of South Africa’s President.,14,0
"Pakistani Government Salvages Coalition, but at a Steep Price.",14,0
"A Dance for Tibetan New Year, Then 17 Hours in Custody.",16,0
Michael Cohen’s Testimony Opens New Phase of Political Turbulence for Trump.,15,1
Strong American Voice in Diplomacy and Crisis.,9,1
Terror Through the Eyes of Innocents: The Children in Nice.,14,1
First Lady Takes On the Role of Staff Energizer.,12,1
Family Sees TV Talent Scout Where Israeli Authorities See Jihadist Spy.,15,0
"As the Winds Come, Towns in Hurricane Florence’s Path Fear the Floods.",18,1
Soros Foundations Leaving Hungary Under Government Pressure.,10,0
Iraqi Parliament Wobbles Over Forming Government.,10,0
Libyan Militias Seize Control of Capital as Chaos Rises.,14,0
"Coronavirus Survivors Want Answers, and China Is Silencing Them.",13,0
Pope Creates Tribunal for Bishop Negligence in Child Sexual Abuse Cases.,14,1
Mexican Election Officials Confirm Presidential Victory.,8,0
Gun Battles in Capital Shake Yemen.,8,0
"Bolivia’s Evo Morales Faces Runoff, Early Election Returns Show.",14,0
"Beneath Hillary Clinton’s Super Tuesday Wins, Signs of Turnout Trouble.",16,1
Attacks on Fatah Sites Sharpen Tensions in Gaza .,13,0
Suicides Outpacing War Deaths for Troops.,11,0
Shifting Alliances Play Out Behind Closed Doors in Yemen .,13,0
A Priest Stands Up for the Migrants Who Run Mexico’s Gantlet.,17,0
Floods in Pakistan Carry the Seeds of Upheaval.,13,1
"U.S. to Release 6,000 Inmates From Prisons.",18,1
Iowans Question G.O.P. Talk on Illegal Immigration.,16,1
This Contact Tracer Is Fighting Two Contagions: The Virus and Fear.,16,1
Elizabeth Warren’s DNA Results Draw Rebuke from Trump and Raise Questions.,17,1
"As Growth Ebbs, Brazil Powers Up Its Bulldozers.",14,1
House Narrowly Passes Bill to Avoid Shutdown; $1.1 Trillion in Spending .,19,1
"Making Soldiers Fit to Fight, Without the Situps.",12,1
Reprimands for 3 Lawmakers Rekindle Debate About Israel’s Arab Minority.,19,0
James Murdoch Gives Up Role at British Unit.,10,0
Ukraine Sends Opposition Leader to Remote Prison.,9,0
A Brussels Mentor Who Taught ‘Gangster Islam’ to the Young and Angry.,17,1
"Raqqa, ISIS ‘Capital,’ Is Captured, U.S.-Backed Forces Say.",22,1
Trump Administration Moves to Speed Coronavirus Testing.,9,0
"After ’09 Fraud, Afghanistan Reports a Cleaner Election.",13,0
"Israeli Firm, Target of Boycott, to Shut West Bank Plant .",15,0
"In Vatican Whodunit, a Punch Line of a Suspect.",15,1
Brazil’s Plan Isn’t What Doctors Would Order.,13,0
U.S. Goal Is to Make Syrian Rebels Viable.,14,1
"Teenage Insults, Scrawled on Web, Not on Walls.",15,1
Day at a Shopping Center in Texas Turns Deadly.,11,1
Japan’s Leader Has Little Use for Hiroshima’s Lessons of Pacifism.,18,1
Final Hearing for Reporter Held in Iran Is Scheduled for Monday.,13,0
Egyptian Army’s Business Side Blurs Lines of U.S. Military Aid.,18,1
‘It’s a Black Thing’: Offensive Quip Becomes a Rallying Cry in Brazil.,20,0
Gina Haspel Likely to Be Confirmed as C.I.A. Chief After Repudiating Torture.,22,1
